Date,Sales
2021-01-01,5399.01
2021-02-01,5477.25
2021-03-01,5865.74
2021-04-01,6147.06
2021-05-01,5522.61
2021-06-01,5358.33
2021-07-01,5738.05
2021-08-01,5397.22
2021-09-01,5044.87
2021-10-01,5501.18
2021-11-01,5468.12
2021-12-01,5803.14
2022-01-01,6351.16
2022-02-01,5973.31
2022-03-01,6182.52
2022-04-01,6550.04
2022-05-01,6317.58
2022-06-01,6551.42
2022-07-01,6020.45
2022-08-01,5771.87
2022-09-01,6653.98
2022-10-01,6299.25
2022-11-01,6655.97
2022-12-01,6544.0
2023-01-01,7143.83
2023-02-01,7609.15
2023-03-01,7383.27
2023-04-01,7860.01
2023-05-01,7469.81
2023-06-01,7398.21
2023-07-01,7140.92
2023-08-01,7779.81
2023-09-01,7238.81
2023-10-01,7078.25
2023-11-01,7911.05
2023-12-01,7633.75
